,latitud,provinciaAemet,altitud,indicativo,nombre,indsinop,longitud,distrito,ciudad,provincia,CA,pais
129,38.98777777777778,CIUDAD REAL,627.0,4121C,"CIUDAD REAL, INSTITUTO",,-3.9291666666666667,Ciudad Real,Ciudad Real,Ciudad Real,Castilla-La Mancha,ESP
130,38.75055555555556,CIUDAD REAL,700.0,4147X,VALDEPEÑAS,08351,-3.391388888888889,Valdepeñas,Valdepeñas,Ciudad Real,Castilla-La Mancha,ESP
131,38.518055555555556,CIUDAD REAL,804.0,4148,VISO DEL MARQUÉS,08345,-3.5666666666666664,Viso del Marqués,Viso del Marqués,Ciudad Real,Castilla-La Mancha,ESP
132,39.08861111111111,CIUDAD REAL,486.0,4220X,PUEBLA DE DON RODRIGO,08271,-4.616388888888888,Puebla de Don Rodrigo,Puebla de Don Rodrigo,Ciudad Real,Castilla-La Mancha,ESP
133,39.169444444444444,BADAJOZ,447.0,4244X,HERRERA DEL DUQUE,08264,-5.062222222222222,,Herrera del Duque,Badajoz,Extremadura,ESP
134,38.49861111111111,CORDOBA,551.0,4267X,HINOJOSA DEL DUQUE,08335,-5.1211111111111105,,Hinojosa del Duque,Córdoba,Andalucía,ESP
135,38.955555555555556,BADAJOZ,273.0,4358X,DON BENITO,08333,-5.880555555555556,Don Benito,Don Benito,Badajoz,Extremadura,ESP
136,38.23166666666667,BADAJOZ,655.0,4386B,LLERENA,08336,-6.016944444444444,,Llerena,Badajoz,Extremadura,ESP
137,38.91583333333333,BADAJOZ,228.0,4410X,MÉRIDA,08331,-6.385555555555556,Mérida,Mérida,Badajoz,Extremadura,ESP
138,38.88333333333333,BADAJOZ,185.0,4452,BADAJOZ AEROPUERTO,08330,-6.813888888888889,,Badajoz,Badajoz,Extremadura,ESP
139,38.29861111111111,BADAJOZ,381.0,4511C,JEREZ DE LOS CABALLEROS,08337,-6.765,,Jerez de los Caballeros,Badajoz,Extremadura,ESP
140,37.19472222222222,HUELVA,2.0,4549Y,AYAMONTE,08381,-7.3950000000000005,,Ayamonte,Huelva,Andalucía,ESP
141,37.868611111111115,HUELVA,572.0,4560Y,ALAJAR,08380,-6.675000000000001,,Alájar,Huelva,Andalucía,ESP
142,37.25666666666667,HUELVA,17.0,4605,HUELVA,,-6.949722222222222,Huelva,Huelva,Huelva,Andalucía,ESP
143,37.27833333333333,HUELVA,19.0,4642E,"HUELVA, RONDA ESTE",08383,-6.911666666666667,,Huelva,Huelva,Andalucía,ESP
144,35.89555555555555,CEUTA,200.0,5000A,"CEUTA, MONTE HACHO",,-5.292222222222222,,Ceuta,Ceuta,Ciudad Autónoma de Ceuta,ESP
145,35.88861111111111,CEUTA,87.0,5000C,CEUTA,60320,-5.3469444444444445,,Ceuta,Ceuta,Ciudad Autónoma de Ceuta,ESP
146,37.91583333333333,JAEN,782.0,5038X,CAZORLA,08353,-3.003888888888889,Cazorla,Cazorla,Jaén,Andalucía,ESP
147,37.505833333333335,GRANADA,785.0,5047E,BAZA,08424,-2.735,,Baza,Granada,Andalucía,ESP
148,37.861111111111114,GRANADA,1092.0,5051X,HUÉSCAR,08423,-2.6527777777777777,,Huéscar,Granada,Andalucía,ESP
149,38.31472222222222,JAEN,580.0,5181D,ARROYO DEL OJANCO,08352,-2.8897222222222223,,Arroyo del Ojanco,Jaén,Andalucía,ESP
150,38.48916666666667,JAEN,862.0,5192,VILLARRODRIGO,08354,-2.6375,Villarrodrigo,Villarrodrigo,Jaén,Andalucía,ESP
151,38.34444444444445,JAEN,770.0,5246,SANTA ELENA,08350,-3.5352777777777775,Santa Elena,Santa Elena,Jaén,Andalucía,ESP
152,37.77638888888889,JAEN,510.0,5270,"JAÉN, INSTITUTO",,-3.7888888888888888,Jaén,Jaén,Jaén,Andalucía,ESP
153,37.777499999999996,JAEN,580.0,5270B,JAÉN,08417,-3.8088888888888888,Jaén,Jaén,Jaén,Andalucía,ESP
154,38.02305555555555,JAEN,202.0,5298X,ANDÚJAR,08347,-4.0633333333333335,,Andújar,Jaén,Andalucía,ESP
155,38.33305555555556,CORDOBA,750.0,5390Y,VILLANUEVA DE CÓRDOBA,08346,-4.608888888888888,,Villanueva de Córdoba,Córdoba,Andalucía,ESP
156,37.848888888888894,CORDOBA,90.0,5402,CÓRDOBA AEROPUERTO,08410,-4.846666666666667,,Córdoba,Córdoba,Andalucía,ESP
157,37.55611111111111,CORDOBA,650.0,5427X,DOÑA MENCÍA,08412,-4.353888888888888,,Doña Mencía,Córdoba,Andalucía,ESP
158,37.13722222222222,GRANADA,687.0,5514,GRANADA BASE AÉREA,08420,-3.631388888888889,,Alhendín,Granada,Andalucía,ESP
159,37.189722222222215,GRANADA,567.0,5530E,GRANADA AEROPUERTO,08419,-3.7894444444444444,,Chauchina,Granada,Andalucía,ESP
160,37.16111111111111,GRANADA,760.0,5582A,LOJA,08414,-4.152777777777779,,Loja,Granada,Andalucía,ESP
161,37.19444444444444,SEVILLA,410.0,5612B,LA RODA DE ANDALUCÍA,08399,-4.77,,La Roda de Andalucía,Sevilla,Andalucía,ESP
162,37.51611111111111,SEVILLA,130.0,5641X,ÉCIJA,08395,-5.085,,Écija,Sevilla,Andalucía,ESP
163,37.92638888888889,SEVILLA,550.0,5704B,CAZALLA DE LA SIERRA,08392,-5.769722222222222,,Cazalla de la Sierra,Sevilla,Andalucía,ESP
164,37.416666666666664,SEVILLA,34.0,5783,SEVILLA AEROPUERTO,08391,-5.879166666666667,,Sevilla,Sevilla,Andalucía,ESP
165,37.16444444444444,SEVILLA,87.0,5796,MORÓN DE LA FRONTERA,08397,-5.6113888888888885,,Arahal,Sevilla,Andalucía,ESP
166,37.09805555555556,HUELVA,41.0,5860E,"MOGUER, EL ARENOSILLO",08384,-6.7380555555555555,,Moguer,Huelva,Andalucía,ESP
167,36.638888888888886,CADIZ,21.0,5910,"ROTA, BASE NAVAL",08449,-6.3325,,Rota,Cádiz,Andalucía,ESP
168,36.760555555555555,CADIZ,913.0,5911A,GRAZALEMA,08455,-5.3741666666666665,,Grazalema,Cádiz,Andalucía,ESP
169,36.75055555555556,CADIZ,27.0,5960,JEREZ DE LA FRONTERA AEROPUERTO,08451,-6.055833333333333,,Jerez de la Frontera,Cádiz,Andalucía,ESP
170,36.46555555555556,CADIZ,28.0,5972X,SAN FERNANDO,08453,-6.205555555555556,San Fernando,San Fernando,Cádiz,Andalucía,ESP
171,36.499722222222225,CADIZ,2.0,5973,CÁDIZ,08452,-6.257777777777778,Cádiz,Cádiz,Cádiz,Andalucía,ESP
172,36.245555555555555,CADIZ,186.0,5995B,VEJER DE LA FRONTERA,08457,-5.965,Vejer de la Frontera,Vejer de la Frontera,Cádiz,Andalucía,ESP
173,35.27638888888889,MELILLA,52.0,6000A,MELILLA,60338,-2.956388888888889,Melilla,Melilla,Melilla,Ciudad Autónoma de Melilla,ESP
174,36.013888888888886,CADIZ,32.0,6001,TARIFA,08458,-5.598888888888888,,Tarifa,Cádiz,Andalucía,ESP
175,36.749722222222225,MALAGA,766.0,6032B,RONDA,08443,-5.168333333333334,Ronda,Ronda,Málaga,Andalucía,ESP
176,36.41694444444444,MALAGA,19.0,6058I,ESTEPONA,08463,-5.155,Estepona,Estepona,Málaga,Andalucía,ESP
177,36.53861111111111,MALAGA,8.0,6084X,FUENGIROLA,08480,-4.618333333333334,,Fuengirola,Málaga,Andalucía,ESP
178,37.029444444444444,MALAGA,408.0,6106X,ANTEQUERA,08413,-4.748333333333333,,Antequera,Málaga,Andalucía,ESP
179,36.66611111111111,MALAGA,5.0,6155A,MÁLAGA AEROPUERTO,08482,-4.482222222222222,,Málaga,Málaga,Andalucía,ESP
